name,team,pos,rank
Jake LaRavia,LAL,"SF,PF",620
Markelle Fultz,TOR,"PG,SG",621
Jonas Valanciunas,DEN,C,622
Buddy Hield,ATL,"SG,SF",623
Damion Lee,PHO,"SG,SF",624
Julian Strawther,DEN,"SG,SF",625
Marcus Smart,HOU,"PG,SG",626
Bruce Brown,DEN,"PG,SG",627
Boogie Ellis,SAC,,628
Terance Mann,BKN,"SG,SF",629
Daniel Theis,NO,C,630
Ousmane Dieng,MIL,"SF,PF",631
Brandon Clarke,MEM,"PF,C",632
Kelly Oubre Jr.,IND,"SF,PF",633
Isaac Okoro,CHI,"SG,SF",634
Obi Toppin,IND,"SF,PF",635
Ziaire Williams,LAL,"SG,SF",636
Dariq Whitehead,MEM,PF,637
Derrick Jones Jr.,LAC,"SF,PF",638
Norman Powell,CHI,"SG,SF",639
James Wiseman,IND,C,640
Neemias Queta,BOS,C,641
Moritz Wagner,BKN,C,642
Brook Lopez,LAC,C,643
Aaron Wiggins,ATL,"SG,SF",644
Ben Sheppard,IND,"SG,SF",645
Naji Marshall,DAL,"SG,SF,PF",646
Marvin Bagley III,DEN,"PF,C",647
Bones Hyland,MIN,"PG,SG",648
Grant Williams,CHA,"PF,C",649
Kentavious Caldwell-Pope,PHI,"SG,SF",650
Kris Murray,MEM,"SG,SF",651
Julian Champagnie,SA,"SF,PF",652
Dennis Schröder,CHA,"PG,SG",653
Jarred Vanderbilt,LAL,"PF,C",654
Steven Adams,HOU,C,655
Goga Bitadze,ORL,C,656
Klay Thompson,MIA,"SG,SF",657
Malcolm Brogdon,WAS,"PG,SG",658
Josh Minott,BKN,"SF,PF",659
Jaden Springer,NO,SG,660
Malaki Branham,ORL,"SG,SF",661
Malik Beasley,DET,"SG,SF",662
Jett Howard,DAL,"SG,SF",663
Chris Paul,TOR,PG,664
Dalen Terry,GS,"SG,SF",665
Caleb Houstan,NO,SF,666
Ben Simmons,LAC,"PG,C",667
Ochai Agbaji,BKN,"SG,SF",668
Talen Horton-Tucker,CHI,"SG,SF",669
Dorian Finney-Smith,CHA,"SF,PF",670
Russell Westbrook,SAC,"PG,SG",671
Kelly Olynyk,SA,"PF,C",672
Matisse Thybulle,LAL,"SG,SF",673
Josh Okogie,UTA,"SG,SF",674
Vasilije Micic,MIL,"PG,SG",675
Rayan Rupert,PHI,"SG,SF",676
Jaxson Hayes,UTA,C,677
Kyle Anderson,TOR,"SF,PF",678
Mike Muscala,FA,"PF,C",679
Cam Reddish,LAL,"SG,SF",680
Royce O'Neale,CHA,"SF,PF",681
Mike Conley,BOS,PG,682
Larry Nance Jr.,IND,"PF,C",683
Thomas Bryant,CLE,C,684
David Roddy,DEN,"SF,PF",685
T.J. McConnell,IND,PG,686
Jalen McDaniels,NO,"SF,PF",687
Al Horford,GS,"PF,C",688
