name,team,pos,scorer_id
Abraham Toro,BOS,"1B,2B,3B",041se
Randal Grichuk,ARI/KC,OF,01s9c
Jorge Soler,LAA,"OF,UT",02i11
Kirby Yates,LAD,RP,030vs
Daniel Lynch,KC,"SP,RP",04pma
Ryne Stanek,NYM,RP,02hhj
Freddy Fermin,KC/SD,C,05lo5
Coby Mayo,BAL,"1B,3B",05js5
Jake Bird,COL/NYY,RP,04pqs
Sean Manaea,NYM,"SP,RP",02x0f
Ryan Yarbrough,TOR/NYY,RP,0314j
Trevor Williams,WSH,SP,0311b
Tyler Ferguson,ATH,RP,03qlm
Hayden Birdsong,SF,SP,06650
Joc Pederson,TEX,1B,026qc
Riley O'Brien,STL,RP,04ej3
Jack Kochanowicz,LAA,SP,0512u
Mason Fluharty,TOR,RP,0648y
Rob Refsnyder,BOS,OF,02mzf
Grant Taylor,CHW,"SP,RP",066er
Steven Wilson,CHW,RP,04psv
Joey Bart,PIT,C,04mn4
Yuki Matsui,SD,RP,0689r
Jake Bauers,MIL,"1B,OF,RP",0316v
Jackson Rutledge,WSH,RP,04yte
Luis Garcia,LAD/WSH/LAA,RP,0321h
Dylan Moore,SEA/TEX,"1B,2B,3B,SS,OF",03qml
Chris Martin,TEX,RP,02j77
Jose Trevino,CIN,C,03df0
Mitch Garver,SEA,C,031cd
Brenan Hanifee,DET,RP,041rq
Isaac Mattson,PIT,RP,04eqw
Dominic Smith,NYY/SF,1B,02z96
Nick Allen,ATL,SS,04efs
Kyle Farmer,COL,"1B,2B,3B,SS",0312h
Taylor Rogers,CIN/PIT/CHC,RP,02n3l
Hunter Dobbins,BOS,SP,05y6w
Kolby Allard,CLE,RP,03nqg
Kumar Rocker,TEX,SP,04azu
Justin Topa,MIN,RP,0318i
Taylor Clarke,KC,RP,03qjz
Blaze Alexander,ARI,"2B,3B,SS,OF",04pvs
Chase Burns,CIN,"SP,RP",05rb3
Trey Sweeney,DET,SS,05tuw
Valente Bellozo,MIA,SP,052c7
Ronel Blanco,HOU,SP,04ydi
Osvaldo Bido,ATH,RP,06ala
Martin Perez,CHW,SP,01fhm
Danny Coulombe,MIN/TEX,RP,02hxd
David Hamilton,BOS,"2B,SS",0515v
Ben Williamson,SEA,3B,06dqd
Brock Stewart,MIN/LAD,RP,03deu
Luis Morales,ATH,SP,0662m
Rafael Montero,HOU/ATL/DET,RP,02jhl
Jake Fraley,CIN/ATL,OF,041qd
Elias Diaz,SD,C,03fhx
Tyler Gilbert,CHW,RP,03qm3
Dietrich Enns,DET/BAL,RP,02n9l
Luke Jackson,TEX/DET/SEA,RP,025ey
