reason,player,fp_dynasty_rank,ktc_rank,best_rank
"on authority, unranked by all sources",Cam Miller,,,
"on authority, unranked by all sources",Kyron Drones,,,
"on authority, unranked by all sources",Nathan Peterman,,,
"on authority, unranked by all sources",Seth Henigan,,,
"on authority, unranked by all sources",Kaidon Salter,,,
"on authority, unranked by all sources",Connor Bazelak,,,
"on authority, unranked by all sources",Brady Cook,,,
"on authority, unranked by all sources",Reggie Gilliam,,,
"on authority, unranked by all sources",Travis Homer,,,
"on authority, unranked by all sources",Desmond Ridder,,,
"on authority, unranked by all sources",Jake Haener,,,
"on authority, unranked by all sources",Josh Johnson,,,
"on authority, unranked by all sources",Clayton Tune,,,
"on authority, unranked by all sources",Andy Dalton,,,
"on authority, unranked by all sources",Cooper Rush,,,
"on authority, unranked by all sources",Max Brosmer,,,
"on authority, unranked by all sources",Jimmy Garoppolo,,,
"on authority, unranked by all sources",Nick Mullens,,,
